Event,Gender,Year,Position,Athlete,Country,Time,Time(seconds)
100 metres,Men,1896,1,Tom Burke,USA,12,12.0
100 metres,Men,1896,2,Fritz Hofmann,GER,nan,
100 metres,Men,1896,3,Alajos Szokoly,HUN,nan,
100 metres,Men,1900,1,Frank Jarvis,USA,11.0,11.0
100 metres,Men,1900,2,Walter Tewksbury,USA,nan,
100 metres,Men,1900,3,Stan Rowley,AUS,nan,
100 metres,Men,1904,1,Archie Hahn,USA,11.0,11.0
100 metres,Men,1904,2,Nate Cartmell,USA,11.2,11.2
100 metres,Men,1904,3,Bill Hogenson,USA,11.2,11.2
100 metres,Men,1906,1,Archie Hahn,USA,11.2,11.2
100 metres,Men,1906,2,Fay Moulton,USA,nan,
100 metres,Men,1906,3,Nigel Barker,AUS,nan,
100 metres,Men,1908,1,Reggie Walker,RSA,10.8,10.8
100 metres,Men,1908,2,James Rector,USA,nan,
100 metres,Men,1908,3,Bobby Kerr,CAN,11.0,11.0
100 metres,Men,1912,1,Ralph Craig,USA,10.8,10.8
100 metres,Men,1912,2,Alvah Meyer,USA,10.9,10.9
100 metres,Men,1912,3,Donald Lippincott,USA,10.9,10.9
100 metres,Men,1920,1,Charley Paddock,USA,10.8,10.8
100 metres,Men,1920,2,Morris Kirksey,USA,nan,
100 metres,Men,1920,3,Harry Edward,GBR,10.9,10.9
100 metres,Men,1924,1,Harold Abrahams,GBR,10.6,10.6
100 metres,Men,1924,2,Jackson Scholz,USA,10.7,10.7
100 metres,Men,1924,3,Arthur Porritt,NZL,10.8,10.8
100 metres,Men,1928,1,Percy Williams,CAN,10.8,10.8
100 metres,Men,1928,2,Jack London,GBR,10.9,10.9
100 metres,Men,1928,3,Georg Lammers,GER,10.9,10.9
100 metres,Men,1932,1,Eddie Tolan,USA,10.3,10.3
100 metres,Men,1932,2,Ralph Metcalfe,USA,10.3,10.3
100 metres,Men,1932,3,Arthur Jonath,GER,10.4,10.4
100 metres,Men,1936,1,Jesse Owens,USA,10.3,10.3
100 metres,Men,1936,2,Ralph Metcalfe,USA,10.4,10.4
100 metres,Men,1936,3,Tinus Osendarp,NED,10.5,10.5
100 metres,Men,1948,1,Harrison Dillard,USA,10.3,10.3
100 metres,Men,1948,2,Barney Ewell,USA,10.4,10.4
100 metres,Men,1948,3,Lloyd LaBeach,PAN,10.6,10.6
100 metres,Men,1952,1,Lindy Remigino,USA,10.4,10.4
100 metres,Men,1952,2,Herb McKenley,JAM,10.4,10.4
100 metres,Men,1952,3,McDonald Bailey,GBR,10.4,10.4
100 metres,Men,1956,1,Bobby Joe Morrow,USA,10.5,10.5
100 metres,Men,1956,2,Thane Baker,USA,10.5,10.5
100 metres,Men,1956,3,Hec Hogan,AUS,10.6,10.6
100 metres,Men,1960,1,Armin Hary,GER,10.2,10.2
100 metres,Men,1960,2,Dave Sime,USA,10.2,10.2
100 metres,Men,1960,3,Peter Radford,GBR,10.3,10.3
100 metres,Men,1964,1,Bob Hayes,USA,10.0,10.0
100 metres,Men,1964,2,Enrique Figuerola,CUB,10.2,10.2
100 metres,Men,1964,3,Harry Jerome,CAN,10.2,10.2
100 metres,Men,1968,1,Jim Hines,USA,9.9,9.9
100 metres,Men,1968,2,Lennox Miller,JAM,10.0,10.0
100 metres,Men,1968,3,Charlie Greene,USA,10.0,10.0
100 metres,Men,1972,1,Valery Borzov,URS,10.14,10.14
100 metres,Men,1972,2,Robert Taylor,USA,10.24,10.24
100 metres,Men,1972,3,Lennox Miller,JAM,10.33,10.33
100 metres,Men,1976,1,Hasely Crawford,TTO,10.06,10.06
100 metres,Men,1976,2,Don Quarrie,JAM,10.08,10.08
100 metres,Men,1976,3,Valery Borzov,URS,10.14,10.14
100 metres,Men,1980,1,Allan Wells,GBR,10.25,10.25
100 metres,Men,1980,2,Silvio Leonard,CUB,10.25,10.25
100 metres,Men,1980,3,Petar Petrov,BUL,10.39,10.39
100 metres,Men,1984,1,Carl Lewis,USA,9.99,9.99
100 metres,Men,1984,2,Sam Graddy,USA,10.19,10.19
100 metres,Men,1984,3,Ben Johnson,CAN,10.22,10.22
100 metres,Men,1988,1,Carl Lewis,USA,9.92,9.92
100 metres,Men,1988,2,Linford Christie,GBR,9.97,9.97
100 metres,Men,1988,3,Calvin Smith,USA,9.99,9.99
100 metres,Men,1992,1,Linford Christie,GBR,9.96,9.96
100 metres,Men,1992,2,Frankie Fredericks,NAM,10.02,10.02
100 metres,Men,1992,3,Dennis Mitchell,USA,10.04,10.04
100 metres,Men,1996,1,Donovan Bailey,CAN,9.84,9.84
100 metres,Men,1996,2,Frankie Fredericks,NAM,9.89,9.89
100 metres,Men,1996,3,Ato Boldon,TTO,9.90,9.9
100 metres,Men,2000,1,Maurice Greene,USA,9.87,9.87
100 metres,Men,2000,2,Ato Boldon,TTO,9.99,9.99
100 metres,Men,2000,3,Obadele Thompson,BAR,10.04,10.04
100 metres,Men,2004,1,Justin Gatlin,USA,9.85,9.85
100 metres,Men,2004,2,Francis Obikwelu,POR,9.86,9.86
100 metres,Men,2004,3,Maurice Greene,USA,9.87,9.87
100 metres,Men,2008,1,Usain Bolt,JAM,9.69,9.69
100 metres,Men,2008,2,Richard Thompson,TTO,9.89,9.89
100 metres,Men,2008,3,Walter Dix,USA,9.91,9.91
100 metres,Men,2012,1,Usain Bolt,JAM,9.63,9.63
100 metres,Men,2012,2,Yohan Blake,JAM,9.75,9.75
100 metres,Men,2012,3,Justin Gatlin,USA,9.79,9.79
100 metres,Men,2016,1,Usain Bolt,JAM,9.81,9.81
100 metres,Men,2016,2,Justin Gatlin,USA,9.89,9.89
100 metres,Men,2016,3,Andre De Grasse,CAN,9.91,9.91
100 metres,Women,1928,1,Betty Robinson,USA,12.2,12.2
100 metres,Women,1928,2,Bobby Rosenfeld,CAN,12.3,12.3
100 metres,Women,1928,3,Ethel Smith,CAN,12.3,12.3
100 metres,Women,1932,1,Stanisława Walasiewicz,POL,11.9,11.9
100 metres,Women,1932,2,Hilda Strike,CAN,11.9,11.9
100 metres,Women,1932,3,Billie von Bremen,USA,12.0,12.0
100 metres,Women,1936,1,Helen Stephens,USA,11.5,11.5
100 metres,Women,1936,2,Stanisława Walasiewicz,POL,11.7,11.7
100 metres,Women,1936,3,Käthe Krauß,GER,11.9,11.9
100 metres,Women,1948,1,Fanny Blankers-Koen,NED,11.9,11.9
100 metres,Women,1948,2,Dorothy Manley,GBR,12.2,12.2
100 metres,Women,1948,3,Shirley Strickland,AUS,12.2,12.2
100 metres,Women,1952,1,Marjorie Jackson,AUS,11.5,11.5
100 metres,Women,1952,2,Daphne Hasenjäger,RSA,11.8,11.8
100 metres,Women,1952,3,Shirley Strickland de la Hunty,AUS,11.9,11.9
100 metres,Women,1956,1,Betty Cuthbert,AUS,11.5,11.5
100 metres,Women,1956,2,Christa Stubnick,GER,11.7,11.7
100 metres,Women,1956,3,Marlene Mathews,AUS,11.7,11.7
100 metres,Women,1960,1,Wilma Rudolph,USA,11.0,11.0
100 metres,Women,1960,2,Dorothy Hyman,GBR,11.3,11.3
100 metres,Women,1960,3,Giuseppina Leone,ITA,11.3,11.3
100 metres,Women,1964,1,Wyomia Tyus,USA,11.4,11.4
100 metres,Women,1964,2,Edith McGuire,USA,11.6,11.6
100 metres,Women,1964,3,Ewa Kłobukowska,POL,11.6,11.6
100 metres,Women,1968,1,Wyomia Tyus,USA,11.0,11.0
100 metres,Women,1968,2,Barbara Ferrell,USA,11.1,11.1
100 metres,Women,1968,3,Irena Szewińska,POL,11.1,11.1
100 metres,Women,1972,1,Renate Stecher,GDR,11.07,11.07
100 metres,Women,1972,2,Raelene Boyle,AUS,11.23,11.23
100 metres,Women,1972,3,Silvia Chivás,CUB,11.24,11.24
100 metres,Women,1976,1,Annegret Richter,FRG,11.08,11.08
100 metres,Women,1976,2,Renate Stecher,GDR,11.13,11.13
100 metres,Women,1976,3,Inge Helten,FRG,11.17,11.17
100 metres,Women,1980,1,Lyudmila Kondratyeva,URS,11.06,11.06
100 metres,Women,1980,2,Marlies Göhr,GDR,11.07,11.07
100 metres,Women,1980,3,Ingrid Auerswald,GDR,11.14,11.14
100 metres,Women,1984,1,Evelyn Ashford,USA,10.97,10.97
100 metres,Women,1984,2,Alice Brown,USA,11.13,11.13
100 metres,Women,1984,3,Merlene Ottey-Page,JAM,11.16,11.16
100 metres,Women,1988,1,Florence Griffith Joyner,USA,10.54,10.54
100 metres,Women,1988,2,Evelyn Ashford,USA,10.83,10.83
100 metres,Women,1988,3,Heike Drechsler,GDR,10.85,10.85
100 metres,Women,1992,1,Gail Devers,USA,10.82,10.82
100 metres,Women,1992,2,Juliet Cuthbert,JAM,10.83,10.83
100 metres,Women,1992,3,Irina Privalova,EUN,10.84,10.84
100 metres,Women,1996,1,Gail Devers,USA,10.94,10.94
100 metres,Women,1996,2,Merlene Ottey,JAM,10.94,10.94
100 metres,Women,1996,3,Gwen Torrence,USA,10.96,10.96
100 metres,Women,2000,1,Aikaterini Thanou,GRE,11.12,11.12
100 metres,Women,2000,2,Tayna Lawrence,JAM,11.18,11.18
100 metres,Women,2000,3,Merlene Ottey,JAM,11.19,11.19
100 metres,Women,2004,1,Yuliya Nestsiarenka,BLR,10.93,10.93
100 metres,Women,2004,2,Lauryn Williams,USA,10.96,10.96
100 metres,Women,2004,3,Veronica Campbell,JAM,10.97,10.97
100 metres,Women,2008,1,Shelly-Ann Fraser,JAM,10.78,10.78
100 metres,Women,2008,2,Sherone Simpson,JAM,10.98,10.98
100 metres,Women,2008,2,Kerron Stewart,JAM,10.98,10.98
100 metres,Women,2012,1,Shelly-Ann Fraser-Pryce,JAM,10.75,10.75
100 metres,Women,2012,2,Carmelita Jeter,USA,10.78,10.78
100 metres,Women,2012,3,Veronica Campbell-Brown,JAM,10.81,10.81
100 metres,Women,2016,1,Elaine Thompson,JAM,10.71,10.71
100 metres,Women,2016,2,Tori Bowie,USA,10.83,10.83
100 metres,Women,2016,3,Shelly-Ann Fraser-Pryce,JAM,10.86,10.86
200 metres,Men,1900,1,Walter Tewksbury,USA,22.2,22.2
200 metres,Men,1900,2,Norman Pritchard,IND,nan,
200 metres,Men,1900,3,Stan Rowley,AUS,nan,
200 metres,Men,1904,1,Archie Hahn,USA,21.6,21.6
200 metres,Men,1904,2,Nate Cartmell,USA,21.9,21.9
200 metres,Men,1904,3,Bill Hogenson,USA,nan,
200 metres,Men,1908,1,Bobby Kerr,CAN,22.6,22.6
200 metres,Men,1908,2,Bobby Cloughen,USA,nan,
200 metres,Men,1908,3,Nate Cartmell,USA,22.7,22.7
200 metres,Men,1912,1,Ralph Craig,USA,21.7,21.7
200 metres,Men,1912,2,Donald Lippincott,USA,21.8,21.8
200 metres,Men,1912,3,Willie Applegarth,GBR,21.9,21.9
200 metres,Men,1920,1,Allen Woodring,USA,22.0,22.0
200 metres,Men,1920,2,Charley Paddock,USA,nan,
200 metres,Men,1920,3,Harry Edward,GBR,nan,
200 metres,Men,1924,1,Jackson Scholz,USA,21.6,21.6
200 metres,Men,1924,2,Charley Paddock,USA,21.7,21.7
200 metres,Men,1924,3,Eric Liddell,GBR,21.9,21.9
200 metres,Men,1928,1,Percy Williams,CAN,21.8,21.8
200 metres,Men,1928,2,Walter Rangeley,GBR,21.9,21.9
200 metres,Men,1928,3,Helmut Körnig,GER,21.9,21.9
200 metres,Men,1932,1,Eddie Tolan,USA,21.2,21.2
200 metres,Men,1932,2,George Simpson,USA,21.4,21.4
200 metres,Men,1932,3,Ralph Metcalfe,USA,21.5,21.5
200 metres,Men,1936,1,Jesse Owens,USA,20.7,20.7
200 metres,Men,1936,2,Mack Robinson,USA,21.1,21.1
200 metres,Men,1936,3,Tinus Osendarp,NED,21.3,21.3
200 metres,Men,1948,1,Mel Patton,USA,21.1,21.1
200 metres,Men,1948,2,Barney Ewell,USA,21.1,21.1
200 metres,Men,1948,3,Lloyd LaBeach,PAN,21.2,21.2
200 metres,Men,1952,1,Andy Stanfield,USA,20.7,20.7
200 metres,Men,1952,2,Thane Baker,USA,20.8,20.8
200 metres,Men,1952,3,Jimmy Gathers,USA,20.8,20.8
200 metres,Men,1956,1,Bobby Joe Morrow,USA,20.6,20.6
200 metres,Men,1956,2,Andy Stanfield,USA,20.7,20.7
200 metres,Men,1956,3,Thane Baker,USA,20.9,20.9
200 metres,Men,1960,1,Livio Berruti,ITA,20.5,20.5
200 metres,Men,1960,2,Les Carney,USA,20.6,20.6
200 metres,Men,1960,3,Abdou Sèye,FRA,20.7,20.7
200 metres,Men,1964,1,Henry Carr,USA,20.3,20.3
200 metres,Men,1964,2,Paul Drayton,USA,20.5,20.5
200 metres,Men,1964,3,Edwin Roberts,TTO,20.6,20.6
200 metres,Men,1968,1,Tommie Smith,USA,19.8,19.8
200 metres,Men,1968,2,Peter Norman,AUS,20.0,20.0
200 metres,Men,1968,3,John Carlos,USA,20.0,20.0
200 metres,Men,1972,1,Valery Borzov,URS,20.00,20.0
200 metres,Men,1972,2,Larry Black,USA,20.19,20.19
200 metres,Men,1972,3,Pietro Mennea,ITA,20.30,20.3
200 metres,Men,1976,1,Don Quarrie,JAM,20.23,20.23
200 metres,Men,1976,2,Millard Hampton,USA,20.29,20.29
200 metres,Men,1976,3,Dwayne Evans,USA,20.43,20.43
200 metres,Men,1980,1,Pietro Mennea,ITA,20.19,20.19
200 metres,Men,1980,2,Allan Wells,GBR,20.21,20.21
200 metres,Men,1980,3,Don Quarrie,JAM,20.29,20.29
200 metres,Men,1984,1,Carl Lewis,USA,19.80,19.8
200 metres,Men,1984,2,Kirk Baptiste,USA,19.96,19.96
200 metres,Men,1984,3,Thomas Jefferson,USA,20.26,20.26
200 metres,Men,1988,1,Joe DeLoach,USA,19.75,19.75
200 metres,Men,1988,2,Carl Lewis,USA,19.79,19.79
200 metres,Men,1988,3,Róbson Caetano da Silva,BRA,20.04,20.04
200 metres,Men,1992,1,Mike Marsh,USA,20.01,20.01
200 metres,Men,1992,2,Frankie Fredericks,NAM,20.13,20.13
200 metres,Men,1992,3,Michael Bates,USA,20.38,20.38
200 metres,Men,1996,1,Michael Johnson,USA,19.32,19.32
200 metres,Men,1996,2,Frankie Fredericks,NAM,19.68,19.68
200 metres,Men,1996,3,Ato Boldon,TTO,19.80,19.8
200 metres,Men,2000,1,Kostas Kenteris,GRE,20.09,20.09
200 metres,Men,2000,2,Darren Campbell,GBR,20.14,20.14
200 metres,Men,2000,3,Ato Boldon,TTO,20.20,20.2
200 metres,Men,2004,1,Shawn Crawford,USA,19.79,19.79
200 metres,Men,2004,2,"Bernard Williams, III",USA,20.01,20.01
200 metres,Men,2004,3,Justin Gatlin,USA,20.03,20.03
200 metres,Men,2008,1,Usain Bolt,JAM,19.30,19.3
200 metres,Men,2008,2,Shawn Crawford,USA,19.96,19.96
200 metres,Men,2008,3,Walter Dix,USA,19.98,19.98
200 metres,Men,2012,1,Usain Bolt,JAM,19.32,19.32
200 metres,Men,2012,2,Yohan Blake,JAM,19.44,19.44
200 metres,Men,2012,3,Warren Weir,JAM,19.84,19.84
200 metres,Men,2016,1,Usain Bolt,JAM,19.78,19.78
200 metres,Men,2016,2,Andre De Grasse,CAN,20.02,20.02
200 metres,Men,2016,3,Christophe Lemaître,FRA,20.12,20.12
200 metres,Women,1948,1,Fanny Blankers-Koen,NED,24.4,24.4
200 metres,Women,1948,2,Audrey Williamson,GBR,25.1,25.1
200 metres,Women,1948,3,Shirley Strickland,AUS,25.3,25.3
200 metres,Women,1952,1,Marjorie Jackson,AUS,23.7,23.7
200 metres,Women,1952,2,Puck Brouwer,NED,24.2,24.2
200 metres,Women,1952,3,Nadezhda Khnik'ina,URS,24.2,24.2
200 metres,Women,1956,1,Betty Cuthbert,AUS,23.4,23.4
200 metres,Women,1956,2,Christa Stubnick,GER,23.7,23.7
200 metres,Women,1956,3,Marlene Mathews,AUS,23.8,23.8
200 metres,Women,1960,1,Wilma Rudolph,USA,24.0,24.0
200 metres,Women,1960,2,Jutta Heine,GER,24.4,24.4
200 metres,Women,1960,3,Dorothy Hyman,GBR,24.7,24.7
200 metres,Women,1964,1,Edith McGuire,USA,23.0,23.0
200 metres,Women,1964,2,Irena Kirszenstein,POL,23.1,23.1
200 metres,Women,1964,3,Marilyn Black,AUS,23.1,23.1
200 metres,Women,1968,1,Irena Szewińska,POL,22.5,22.5
200 metres,Women,1968,2,Raelene Boyle,AUS,22.7,22.7
200 metres,Women,1968,3,Jennifer Lamy,AUS,22.8,22.8
200 metres,Women,1972,1,Renate Stecher,GDR,22.40,22.4
200 metres,Women,1972,2,Raelene Boyle,AUS,22.45,22.45
200 metres,Women,1972,3,Irena Szewińska,POL,22.74,22.74
200 metres,Women,1976,1,Bärbel Eckert,GDR,22.37,22.37
200 metres,Women,1976,2,Annegret Richter,FRG,22.39,22.39
200 metres,Women,1976,3,Renate Stecher,GDR,22.47,22.47
200 metres,Women,1980,1,Bärbel Wöckel,GDR,22.03,22.03
200 metres,Women,1980,2,Nataliya Bochina,URS,22.19,22.19
200 metres,Women,1980,3,Merlene Ottey,JAM,22.20,22.2
200 metres,Women,1984,1,Valerie Brisco-Hooks,USA,21.81,21.81
200 metres,Women,1984,2,Florence Griffith,USA,22.04,22.04
200 metres,Women,1984,3,Merlene Ottey-Page,JAM,22.09,22.09
200 metres,Women,1988,1,Florence Griffith Joyner,USA,21.34,21.34
200 metres,Women,1988,2,Grace Jackson,JAM,21.72,21.72
200 metres,Women,1988,3,Heike Drechsler,GDR,21.95,21.95
200 metres,Women,1992,1,Gwen Torrence,USA,21.81,21.81
200 metres,Women,1992,2,Juliet Cuthbert,JAM,22.02,22.02
200 metres,Women,1992,3,Merlene Ottey,JAM,22.09,22.09
200 metres,Women,1996,1,Marie-José Pérec,FRA,22.12,22.12
200 metres,Women,1996,2,Merlene Ottey,JAM,22.24,22.24
200 metres,Women,1996,3,Mary Onyali,NGR,22.38,22.38
200 metres,Women,2000,1,Pauline Davis-Thompson,BAH,22.27,22.27
200 metres,Women,2000,2,Susanthika Jayasinghe,SRI,22.28,22.28
200 metres,Women,2000,3,Beverly McDonald,JAM,22.35,22.35
200 metres,Women,2004,1,Veronica Campbell,JAM,22.05,22.05
200 metres,Women,2004,2,Allyson Felix,USA,22.18,22.18
200 metres,Women,2004,3,Debbie Ferguson,BAH,22.30,22.3
200 metres,Women,2008,1,Veronica Campbell-Brown,JAM,21.74,21.74
200 metres,Women,2008,2,Allyson Felix,USA,21.93,21.93
200 metres,Women,2008,3,Kerron Stewart,JAM,22.00,22.0
200 metres,Women,2012,1,Allyson Felix,USA,21.88,21.88
200 metres,Women,2012,2,Shelly-Ann Fraser-Pryce,JAM,22.09,22.09
200 metres,Women,2012,3,Carmelita Jeter,USA,22.14,22.14
200 metres,Women,2016,1,Elaine Thompson,JAM,21.78,21.78
200 metres,Women,2016,2,Dafne Schippers,NED,21.88,21.88
200 metres,Women,2016,3,Tori Bowie,USA,22.15,22.15
400 metres,Men,1896,1,Tom Burke,USA,54.2,54.2
400 metres,Men,1896,2,Herbert Jamison,USA,55.2,55.2
400 metres,Men,1896,3,Charles Gmelin,GBR,nan,
400 metres,Men,1900,1,Maxey Long,USA,49.4,49.4
400 metres,Men,1900,2,Bill Holland,USA,nan,
400 metres,Men,1900,3,Ernst Schultz,DEN,nan,
400 metres,Men,1906,1,Paul Pilgrim,USA,53.2,53.2
400 metres,Men,1906,2,Wyndham Halswelle,GBR,nan,
400 metres,Men,1906,3,Nigel Barker,AUS,nan,
400 metres,Men,1912,1,Charles Reidpath,USA,48.2,48.2
400 metres,Men,1912,2,Hanns Braun,GER,48.3,48.3
400 metres,Men,1912,3,Ed Lindberg,USA,48.4,48.4
400 metres,Men,1920,1,Bevil Rudd,RSA,49.6,49.6
400 metres,Men,1920,2,Guy Butler,GBR,nan,
400 metres,Men,1920,3,Nils Engdahl,SWE,50.2,50.2
400 metres,Men,1924,1,Eric Liddell,GBR,47.6,47.6
400 metres,Men,1924,2,Ray Fitch,USA,48.4,48.4
400 metres,Men,1924,3,Guy Butler,GBR,48.6,48.6
400 metres,Men,1928,1,Ray Barbuti,USA,47.8,47.8
400 metres,Men,1928,2,Jimmy Ball,CAN,48.0,48.0
400 metres,Men,1928,3,Jochen Büchner,GER,48.2,48.2
400 metres,Men,1932,1,Bill Carr,USA,46.2,46.2
400 metres,Men,1932,2,Ben Eastman,USA,46.4,46.4
400 metres,Men,1932,3,Alex Wilson,CAN,47.4,47.4
400 metres,Men,1936,1,Archie Williams,USA,46.5,46.5
400 metres,Men,1936,2,Godfrey Brown,GBR,46.7,46.7
400 metres,Men,1936,3,Jimmy Lu Valle,USA,46.8,46.8
400 metres,Men,1948,1,Arthur Wint,JAM,46.2,46.2
400 metres,Men,1948,2,Herb McKenley,JAM,46.4,46.4
400 metres,Men,1948,3,Mal Whitfield,USA,46.9,46.9
400 metres,Men,1952,1,George Rhoden,JAM,45.9,45.9
400 metres,Men,1952,2,Herb McKenley,JAM,45.9,45.9
400 metres,Men,1952,3,Ollie Matson,USA,46.8,46.8
400 metres,Men,1956,1,Charlie Jenkins,USA,46.7,46.7
400 metres,Men,1956,2,Karl-Friedrich Haas,GER,46.8,46.8
400 metres,Men,1956,3,Voitto Hellstén,FIN,47.0,47.0
400 metres,Men,1960,1,Otis Davis,USA,44.9,44.9
400 metres,Men,1960,2,Carl Kaufmann,GER,44.9,44.9
400 metres,Men,1960,3,Malcolm Spence,RSA,45.5,45.5
400 metres,Men,1964,1,Mike Larrabee,USA,45.1,45.1
400 metres,Men,1964,2,Wendell Mottley,TTO,45.2,45.2
400 metres,Men,1964,3,Andrzej Badeński,POL,45.6,45.6
400 metres,Men,1968,1,Lee Evans,USA,43.8,43.8
400 metres,Men,1968,2,Larry James,USA,43.9,43.9
400 metres,Men,1968,3,Ron Freeman,USA,44.4,44.4
400 metres,Men,1972,1,Vince Matthews,USA,44.66,44.66
400 metres,Men,1972,2,Wayne Collett,USA,44.80,44.8
400 metres,Men,1972,3,Julius Sang,KEN,44.92,44.92
400 metres,Men,1976,1,Alberto Juantorena,CUB,44.26,44.26
400 metres,Men,1976,2,Fred Newhouse,USA,44.40,44.4
400 metres,Men,1976,3,Herman Frazier,USA,44.95,44.95
400 metres,Men,1980,1,Viktor Markin,URS,44.60,44.6
400 metres,Men,1980,2,Rick Mitchell,AUS,44.84,44.84
400 metres,Men,1980,3,Frank Schaffer,GDR,44.87,44.87
400 metres,Men,1984,1,Alonzo Babers,USA,44.27,44.27
400 metres,Men,1984,2,Gabriel Tiacoh,CIV,44.54,44.54
400 metres,Men,1984,3,Antonio McKay,USA,44.71,44.71
400 metres,Men,1988,1,Steve Lewis,USA,43.87,43.87
400 metres,Men,1988,2,Butch Reynolds,USA,43.93,43.93
400 metres,Men,1988,3,Danny Everett,USA,44.09,44.09
400 metres,Men,1992,1,Quincy Watts,USA,43.50,43.5
400 metres,Men,1992,2,Steve Lewis,USA,44.21,44.21
400 metres,Men,1992,3,Samson Kitur,KEN,44.24,44.24
400 metres,Men,1996,1,Michael Johnson,USA,43.49,43.49
400 metres,Men,1996,2,Roger Black,GBR,44.41,44.41
400 metres,Men,1996,3,Davis Kamoga,UGA,44.53,44.53
400 metres,Men,2000,1,Michael Johnson,USA,43.84,43.84
400 metres,Men,2000,2,Alvin Harrison,USA,44.40,44.4
400 metres,Men,2000,3,Greg Haughton,JAM,44.70,44.7
400 metres,Men,2004,1,Jeremy Wariner,USA,44.00,44.0
400 metres,Men,2004,2,Otis Harris,USA,44.16,44.16
400 metres,Men,2004,3,Derrick Brew,USA,44.42,44.42
400 metres,Men,2008,1,LaShawn Merritt,USA,43.75,43.75
400 metres,Men,2008,2,Jeremy Wariner,USA,44.74,44.74
400 metres,Men,2008,3,David Neville,USA,44.80,44.8
400 metres,Men,2012,1,Kirani James,GRN,43.94,43.94
400 metres,Men,2012,2,Luguelín Santos,DOM,44.46,44.46
400 metres,Men,2012,3,Lalonde Gordon,TTO,44.52,44.52
400 metres,Men,2016,1,Wayde van Niekerk,RSA,43.03,43.03
400 metres,Men,2016,2,Kirani James,GRN,43.76,43.76
400 metres,Men,2016,3,LaShawn Merritt,USA,43.85,43.85
400 metres,Women,1964,1,Betty Cuthbert,AUS,52.0,52.0
400 metres,Women,1964,2,Ann Packer,GBR,52.2,52.2
400 metres,Women,1964,3,Judy Amoore,AUS,53.4,53.4
400 metres,Women,1968,1,Colette Besson,FRA,52.0,52.0
400 metres,Women,1968,2,Lillian Board,GBR,52.1,52.1
400 metres,Women,1968,3,Nataliya Pechenkina,URS,52.2,52.2
400 metres,Women,1972,1,Monika Zehrt,GDR,51.08,51.08
400 metres,Women,1972,2,Rita Wilden,FRG,51.21,51.21
400 metres,Women,1972,3,Kathy Hammond,USA,51.64,51.64
400 metres,Women,1976,1,Irena Szewińska,POL,49.28,49.28
400 metres,Women,1976,2,Christina Brehmer,GDR,50.51,50.51
400 metres,Women,1976,3,Ellen Streidt,GDR,50.55,50.55
400 metres,Women,1980,1,Marita Koch,GDR,48.88,48.88
400 metres,Women,1980,2,Jarmila Kratochvílová,TCH,49.46,49.46
400 metres,Women,1980,3,Christina Lathan,GDR,49.66,49.66
400 metres,Women,1984,1,Valerie Brisco-Hooks,USA,48.83,48.83
